rule_path                                 ,api1                                                                                                                                                                                                                               ,api2                                                                                                                                                                 ,description                                                                     ,label
/mnt/storage/quark-rules/rules/00188.json ,Landroid/content/ContentResolver;query(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;                                                                   ,Landroid/database/Cursor;getColumnIndex(Ljava/lang/String;)I                                                                                                         ,Get the address of a SMS message                                                ,sms
/mnt/storage/quark-rules/rules/00004.json ,Ljava/io/File;getName()Ljava/lang/String;                                                                                                                                                                                          ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Get filename and put it to JSON object                                          ,"file,collection"
/mnt/storage/quark-rules/rules/00124.json ,Landroid/net/ConnectivityManager;getActiveNetwork()Landroid/net/Network;                                                                                                                                                           ,Ljava/lang/Object;equals(Ljava/lang/Object;)Z                                                                                                                        ,Check the current active network type                                           ,network
/mnt/storage/quark-rules/rules/00122.json ,Landroid/telephony/SmsMessage;getOriginatingAddress()Ljava/lang/String;                                                                                                                                                            ,Ljava/lang/String;contains(Ljava/lang/CharSequence;)Z                                                                                                                ,Check if the sender address of SMS contains the given string                    ,"sms,collection"
/mnt/storage/quark-rules/rules/00082.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/net/wifi/WifiInfo;getMacAddress()Ljava/lang/String;                                                                                                         ,Get the current WiFi MAC address                                                ,"collection,wifi"
/mnt/storage/quark-rules/rules/00036.json ,Landroid/content/Context;getPackageName()Ljava/lang/String;                                                                                                                                                                        ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                          ,Get resource file from res/raw directory                                        ,reflection
/mnt/storage/quark-rules/rules/00152.json ,Ljava/net/URL;openConnection()Ljava/net/URLConnection;                                                                                                                                                                             ,Landroid/telephony/SmsManager;sendTextMessage(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/app/PendingIntent; Landroid/app/PendingIntent;)V     ,Get data from HTTP and send SMS                                                 ,"command,sms"
/mnt/storage/quark-rules/rules/00031.json ,Landroid/app/ActivityManager;getRunningTasks(I)Ljava/util/List;                                                                                                                                                                    ,Landroid/content/ComponentName;getPackageName()Ljava/lang/String;                                                                                                    ,Check the list of currently running applications                                ,"reflection,collection"
/mnt/storage/quark-rules/rules/00110.json ,Landroid/telephony/SubscriptionManager;getActiveSubscriptionInfoList()Ljava/util/List;                                                                                                                                             ,Landroid/telephony/SubscriptionInfo;getIccId()Ljava/lang/String;                                                                                                     ,Query the ICCID number                                                          ,"collection,telephony"
/mnt/storage/quark-rules/rules/00085.json ,Landroid/telephony/TelephonyManager;getNetworkCountryIso()Ljava/lang/String;                                                                                                                                                       ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Get the ISO country code and put it into JSON                                   ,"collection,telephony"
/mnt/storage/quark-rules/rules/00143.json ,Ljava/lang/StringBuilder;toString()Ljava/lang/String;                                                                                                                                                                              ,Landroid/app/Service;getClassLoader()Ljava/lang/ClassLoader;                                                                                                         ,Get external class from given path or file name                                 ,reflection
/mnt/storage/quark-rules/rules/00117.json ,Landroid/telephony/TelephonyManager;getSubscriberId()Ljava/lang/String;                                                                                                                                                            ,Landroid/telephony/TelephonyManager;getNetworkOperatorName()Ljava/lang/String;                                                                                       ,Get the IMSI and network operator name                                          ,"telephony,collection"
/mnt/storage/quark-rules/rules/00108.json ,Ljava/net/HttpURLConnection;getInputStream()Ljava/io/InputStream;                                                                                                                                                                  ,Ljava/io/InputStream;read([B)I                                                                                                                                       ,Read the input stream from given URL                                            ,"network,command"
/mnt/storage/quark-rules/rules/00077.json ,Landroid/content/Context;getContentResolver()Landroid/content/ContentResolver;                                                                                                                                                     ,Landroid/content/ContentResolver;query(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;     ,"Read sensitive data(SMS, CALLLOG, etc)"                                        ,"collection,sms,calllog,calendar"
/mnt/storage/quark-rules/rules/00134.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/net/wifi/WifiInfo;getIpAddress()I                                                                                                                           ,Get the current WiFi IP address                                                 ,"wifi,collection"
/mnt/storage/quark-rules/rules/00199.json ,Landroid/media/MediaRecorder;stop()V                                                                                                                                                                                               ,Landroid/media/MediaRecorder;release()V                                                                                                                              ,Stop recording and release recording resources                                  ,record
/mnt/storage/quark-rules/rules/00043.json ,Landroid/net/wifi/WifiInfo;getRssi()I                                                                                                                                                                                              ,Landroid/net/wifi/WifiManager;calculateSignalLevel(I I)I                                                                                                             ,Calculate WiFi signal strength                                                  ,"collection,wifi"
/mnt/storage/quark-rules/rules/00145.json ,Ljava/net/Proxy;address()Ljava/net/SocketAddress;                                                                                                                                                                                  ,Ljavax/net/SocketFactory;createSocket()Ljava/net/Socket;                                                                                                             ,Create a socket connection to the proxy address                                 ,"network,command"
/mnt/storage/quark-rules/rules/00203.json ,Landroid/net/Uri;parse(Ljava/lang/String;)Landroid/net/Uri;                                                                                                                                                                        ,Landroid/content/Intent;setData(Landroid/net/Uri;)Landroid/content/Intent;                                                                                           ,Put a phone number into an intent                                               ,control
/mnt/storage/quark-rules/rules/00170.json ,Landroid/content/pm/PackageManager;getInstalledApplications(I)Ljava/util/List;                                                                                                                                                     ,Landroid/content/SharedPreferences$Editor;putString(Ljava/lang/String; Ljava/lang/String;)Landroid/content/SharedPreferences$Editor;                                 ,Get installed applications and put the list in shared preferences               ,"applications,privacy"
/mnt/storage/quark-rules/rules/00101.json ,Landroid/os/Bundle;getString(Ljava/lang/String;)Ljava/lang/String;                                                                                                                                                                 ,Landroid/media/MediaRecorder;prepare()V                                                                                                                              ,Initialize recorder                                                             ,record
/mnt/storage/quark-rules/rules/00023.json ,Landroid/content/pm/PackageManager;getLaunchIntentForPackage(Ljava/lang/String;)Landroid/content/Intent;                                                                                                                           ,Landroid/content/Context;startActivity(Landroid/content/Intent;)V                                                                                                    ,Start another application from current application                              ,"reflection,control"
/mnt/storage/quark-rules/rules/00118.json ,Landroid/telephony/SmsMessage;getMessageBody()Ljava/lang/String;                                                                                                                                                                   ,Ljava/lang/String;contains(Ljava/lang/CharSequence;)Z                                                                                                                ,Check if the content of SMS contains given string                               ,"sms,collection"
/mnt/storage/quark-rules/rules/00194.json ,Landroid/media/MediaRecorder;setAudioSource(I)V                                                                                                                                                                                    ,Landroid/media/MediaRecorder;setOutputFormat(I)V                                                                                                                     ,Set the audio source (MIC) and recorded file format                             ,record
/mnt/storage/quark-rules/rules/00074.json ,Landroid/telephony/TelephonyManager;getSubscriberId()Ljava/lang/String;                                                                                                                                                            ,Landroid/telephony/TelephonyManager;getNetworkCountryIso()Ljava/lang/String;                                                                                         ,Get IMSI and the ISO country code                                               ,"collection,telephony"
/mnt/storage/quark-rules/rules/00100.json ,Landroid/net/ConnectivityManager;getNetworkCapabilities(Landroid/net/Network;)Landroid/net/NetworkCapabilities;                                                                                                                    ,Ljava/lang/Object;equals(Ljava/lang/Object;)Z                                                                                                                        ,Check the network capabilities                                                  ,"collection,network"
/mnt/storage/quark-rules/rules/00035.json ,Landroid/content/Context;getPackageManager()Landroid/content/pm/PackageManager;                                                                                                                                                    ,Landroid/content/pm/PackageManager;getInstalledPackages(I)Ljava/util/List;                                                                                           ,Query the list of the installed packages                                        ,reflection
/mnt/storage/quark-rules/rules/00206.json ,Landroid/view/accessibility/AccessibilityNodeInfo;getText()Ljava/lang/CharSequence;                                                                                                                                                ,Ljava/lang/String;contains(Ljava/lang/CharSequence;)Z                                                                                                                ,Check if the text of the view contains the given string                         ,accessibility service
/mnt/storage/quark-rules/rules/00038.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/telephony/TelephonyManager;getLine1Number()Ljava/lang/String;                                                                                               ,Query the phone number                                                          ,collection
/mnt/storage/quark-rules/rules/00162.json ,Ljava/net/InetSocketAddress;<init>(Ljava/lang/String; I)V                                                                                                                                                                          ,Ljava/net/Socket;connect(Ljava/net/SocketAddress;)V                                                                                                                  ,Create InetSocketAddress object and connecting to it                            ,socket
/mnt/storage/quark-rules/rules/00129.json ,Landroid/telephony/SmsMessage;getMessageBody()Ljava/lang/String;                                                                                                                                                                   ,Ljava/lang/String;toString()Ljava/lang/String;                                                                                                                       ,Get the content of SMS                                                          ,"sms,collection"
/mnt/storage/quark-rules/rules/00010.json ,Landroid/content/ContentResolver;query(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;                                                                   ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,"Read sensitive data(SMS, CALLLOG) and put it into JSON object"                 ,"sms,calllog,collection"
/mnt/storage/quark-rules/rules/00072.json ,Ljava/net/HttpURLConnection;getInputStream()Ljava/io/InputStream;                                                                                                                                                                  ,Ljava/io/FileOutputStream;write([B I I)V                                                                                                                             ,Write HTTP input stream into a file                                             ,"command,network,file"
/mnt/storage/quark-rules/rules/00209.json ,Landroid/media/ImageReader;acquireLatestImage()Landroid/media/Image;                                                                                                                                                               ,Landroid/media/Image;getPlanes()[Landroid/media/Image$Plane;                                                                                                         ,Get pixels from the latest rendered image                                       ,collection
/mnt/storage/quark-rules/rules/00029.json ,Ljava/lang/Class;forName(Ljava/lang/String;)Ljava/lang/Class;                                                                                                                                                                      ,Ljava/lang/reflect/Constructor;newInstance([Ljava/lang/Object;)Ljava/lang/Object;                                                                                    ,Initialize class object dynamically                                             ,reflection
/mnt/storage/quark-rules/rules/00056.json ,Landroid/media/AudioManager;getStreamMaxVolume(I)I                                                                                                                                                                                 ,Landroid/media/AudioManager;setStreamVolume(I I I)V                                                                                                                  ,Modify voice volume                                                             ,control
/mnt/storage/quark-rules/rules/00033.json ,Landroid/content/Context;getSystemService(Ljava/lang/String;)Ljava/lang/Object;                                                                                                                                                    ,Landroid/telephony/TelephonyManager;getDeviceId()Ljava/lang/String;                                                                                                  ,Query the IMEI number                                                           ,collection
/mnt/storage/quark-rules/rules/00186.json ,Ljava/lang/Object;<init>()V                                                                                                                                                                                                        ,Landroid/hardware/Camera;takePicture(Landroid/hardware/Camera$ShutterCallback; Landroid/hardware/Camera$PictureCallback; Landroid/hardware/Camera$PictureCallback;)V ,Control camera to take picture                                                  ,camera
/mnt/storage/quark-rules/rules/00009.json ,Landroid/database/Cursor;getString(I)Ljava/lang/String;                                                                                                                                                                            ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Put data in cursor to JSON object                                               ,file
/mnt/storage/quark-rules/rules/00148.json ,Ljava/net/InetAddress;getHostAddress()Ljava/lang/String;                                                                                                                                                                           ,Ljavax/net/SocketFactory;createSocket()Ljava/net/Socket;                                                                                                             ,Create a socket connection to the given host address                            ,"network,command"
/mnt/storage/quark-rules/rules/00097.json ,Landroid/telephony/SmsMessage;getOriginatingAddress()Ljava/lang/String;                                                                                                                                                            ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Get the sender address of the SMS and put it into JSON                          ,"collection,sms"
/mnt/storage/quark-rules/rules/00088.json ,Ljava/net/InetAddress;getHostAddress()Ljava/lang/String;                                                                                                                                                                           ,Ljavax/net/ssl/SSLSocketFactory;createSocket(Ljava/net/Socket; Ljava/lang/String; I Z)Ljava/net/Socket;                                                              ,Create a secure socket connection to the given host address                     ,"command,network"
/mnt/storage/quark-rules/rules/00028.json ,Landroid/content/res/AssetManager;open(Ljava/lang/String;)Ljava/io/InputStream;                                                                                                                                                    ,Ljava/io/InputStream;read([B)I                                                                                                                                       ,Read file from assets directory                                                 ,file
/mnt/storage/quark-rules/rules/00076.json ,Landroid/net/wifi/WifiManager;getConnectionInfo()Landroid/net/wifi/WifiInfo;                                                                                                                                                       ,Lorg/json/JSONObject;put(Ljava/lang/String; Ljava/lang/Object;)Lorg/json/JSONObject;                                                                                 ,Get the current WiFi information and put it into JSON                           ,"collection,wifi"
/mnt/storage/quark-rules/rules/00001.json ,Landroid/graphics/BitmapFactory;decodeByteArray([B I I)Landroid/graphics/Bitmap;                                                                                                                                                   ,Landroid/graphics/Bitmap;compress(Landroid/graphics/Bitmap$CompressFormat; I Ljava/io/OutputStream;)Z                                                                ,Initialize bitmap object and compress data (e.g. JPEG) into bitmap object       ,camera
